center,left,right,steering,throttle,brake,speed
/Users/matthew/Documents/git/udacity/carnd/carnd-behavioral-cloning/IMG/center_2016_12_16_00_32_14_060.jpg, /Users/matthew/Documents/git/udacity/carnd/carnd-behavioral-cloning/IMG/left_2016_12_16_00_32_14_060.jpg, /Users/matthew/Documents/git/udacity/carnd/carnd-behavioral-cloning/IMG/right_2016_12_16_00_32_14_060.jpg, 0, 0, 0, 7.791556E-05
/Users/matthew/Documents/git/udacity/carnd/carnd-behavioral-cloning/IMG/center_2016_12_16_00_32_14_163.jpg, /Users/matthew/Documents/git/udacity/carnd/carnd-behavioral-cloning/IMG/left_2016_12_16_00_32_14_163.jpg, /Users/matthew/Documents/git/udacity/carnd/carnd-behavioral-cloning/IMG/right_2016_12_16_00_32_14_163.jpg, 0, 0, 0, 7.804465E-05
/Users/matthew/Documents/git/udacity/carnd/carnd-behavioral-cloning/IMG/center_2016_12_16_00_32_14_271.jpg, /Users/matthew/Documents/git/udacity/carnd/carnd-behavioral-cloning/IMG/left_2016_12_16_00_32_14_271.jpg, /Users/matthew/Documents/git/udacity/carnd/carnd-behavioral-cloning/IMG/right_2016_12_16_00_32_14_271.jpg, 0, 0, 0, 7.856912E-05
/Users/matthew/Documents/git/udacity/carnd/carnd-behavioral-cloning/IMG/center_2016_12_16_00_32_14_374.jpg, /Users/matthew/Documents/git/udacity/carnd/carnd-behavioral-cloning/IMG/left_2016_12_16_00_32_14_374.jpg, /Users/matthew/Documents/git/udacity/carnd/carnd-behavioral-cloning/IMG/right_2016_12_16_00_32_14_374.jpg, 0, 0, 0, 7.842437E-05
/Users/matthew/Documents/git/udacity/carnd/carnd-behavioral-cloning/IMG/center_2016_12_16_00_32_14_479.jpg, /Users/matthew/Documents/git/udacity/carnd/carnd-behavioral-cloning/IMG/left_2016_12_16_00_32_14_479.jpg, /Users/matthew/Documents/git/udacity/carnd/carnd-behavioral-cloning/IMG/right_2016_12_16_00_32_14_479.jpg, 0, 0, 0, 7.849719E-05
/Users/matthew/Documents/git/udacity/carnd/carnd-behavioral-cloning/IMG/center_2016_12_16_00_32_14_589.jpg, /Users/matthew/Documents/git/udacity/carnd/carnd-behavioral-cloning/IMG/left_2016_12_16_00_32_14_589.jpg, /Users/matthew/Documents/git/udacity/carnd/carnd-behavioral-cloning/IMG/right_2016_12_16_00_32_14_589.jpg, 0, 0, 0, 7.785131E-05
/Users/matthew/Documents/git/udacity/carnd/carnd-behavioral-cloning/IMG/center_2016_12_16_00_32_14_693.jpg, /Users/matthew/Documents/git/udacity/carnd/carnd-behavioral-cloning/IMG/left_2016_12_16_00_32_14_693.jpg, /Users/matthew/Documents/git/udacity/carnd/carnd-behavioral-cloning/IMG/right_2016_12_16_00_32_14_693.jpg, 0, 0, 0, 7.779796E-05
/Users/matthew/Documents/git/udacity/carnd/carnd-behavioral-cloning/IMG/center_2016_12_16_00_32_14_793.jpg, /Users/matthew/Documents/git/udacity/carnd/carnd-behavioral-cloning/IMG/left_2016_12_16_00_32_14_793.jpg, /Users/matthew/Documents/git/udacity/carnd/carnd-behavioral-cloning/IMG/right_2016_12_16_00_32_14_793.jpg, 0, 0, 0, 7.861496E-05
/Users/matthew/Documents/git/udacity/carnd/carnd-behavioral-cloning/IMG/center_2016_12_16_00_33_03_021.jpg, /Users/matthew/Documents/git/udacity/carnd/carnd-behavioral-cloning/IMG/left_2016_12_16_00_33_03_021.jpg, /Users/matthew/Documents/git/udacity/carnd/carnd-behavioral-cloning/IMG/right_2016_12_16_00_33_03_021.jpg, 0, 0, 0, 4.255045
/Users/matthew/Documents/git/udacity/carnd/carnd-behavioral-cloning/IMG/center_2016_12_16_00_33_03_129.jpg, /Users/matthew/Documents/git/udacity/carnd/carnd-behavioral-cloning/IMG/left_2016_12_16_00_33_03_129.jpg, /Users/matthew/Documents/git/udacity/carnd/carnd-behavioral-cloning/IMG/right_2016_12_16_00_33_03_129.jpg, -0.09949163, 0.002662782, 0, 4.198988
/Users/matthew/Documents/git/udacity/carnd/carnd-behavioral-cloning/IMG/center_2016_12_16_00_33_03_234.jpg, /Users/matthew/Documents/git/udacity/carnd/carnd-behavioral-cloning/IMG/left_2016_12_16_00_33_03_234.jpg, /Users/matthew/Documents/git/udacity/carnd/carnd-behavioral-cloning/IMG/right_2016_12_16_00_33_03_234.jpg, -0.2641007, 0.1188574, 0, 4.258329
/Users/matthew/Documents/git/udacity/carnd/carnd-behavioral-cloning/IMG/center_2016_12_16_00_33_03_334.jpg, /Users/matthew/Documents/git/udacity/carnd/carnd-behavioral-cloning/IMG/left_2016_12_16_00_33_03_334.jpg, /Users/matthew/Documents/git/udacity/carnd/carnd-behavioral-cloning/IMG/right_2016_12_16_00_33_03_334.jpg, -0.2737836, 0.1091745, 0, 4.353774
/Users/matthew/Documents/git/udacity/carnd/carnd-behavioral-cloning/IMG/center_2016_12_16_00_33_03_434.jpg, /Users/matthew/Documents/git/udacity/carnd/carnd-behavioral-cloning/IMG/left_2016_12_16_00_33_03_434.jpg, /Users/matthew/Documents/git/udacity/carnd/carnd-behavioral-cloning/IMG/right_2016_12_16_00_33_03_434.jpg, -0.3318809, 0.1285403, 0, 4.453805
/Users/matthew/Documents/git/udacity/carnd/carnd-behavioral-cloning/IMG/center_2016_12_16_00_33_03_535.jpg, /Users/matthew/Documents/git/udacity/carnd/carnd-behavioral-cloning/IMG/left_2016_12_16_00_33_03_535.jpg, /Users/matthew/Documents/git/udacity/carnd/carnd-behavioral-cloning/IMG/right_2016_12_16_00_33_03_535.jpg, -0.3802953, 0.1672718, 0, 4.591816
/Users/matthew/Documents/git/udacity/carnd/carnd-behavioral-cloning/IMG/center_2016_12_16_00_33_03_635.jpg, /Users/matthew/Documents/git/udacity/carnd/carnd-behavioral-cloning/IMG/left_2016_12_16_00_33_03_635.jpg, /Users/matthew/Documents/git/udacity/carnd/carnd-behavioral-cloning/IMG/right_2016_12_16_00_33_03_635.jpg, -0.4480756, 0.2641007, 0, 4.813845
